timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,unique_port_count,label
2026-01-13T18:33:53.220944+00:00,,,,,57758,443,0,1,NORMAL
2026-01-13T18:33:53.222047+00:00,,,,,443,44622,1,2,NORMAL
2026-01-13T18:33:53.222167+00:00,,,,,44622,443,1,2,NORMAL
2026-01-13T18:33:53.222273+00:00,,,,,44622,443,36,2,NORMAL
2026-01-13T18:33:53.222593+00:00,,,,,443,57758,0,3,NORMAL
2026-01-13T18:33:53.222864+00:00,,,,,57758,443,1,3,NORMAL
2026-01-13T18:33:53.222966+00:00,,,,,57758,443,1,3,NORMAL
2026-01-13T18:33:53.223063+00:00,,,,,57758,443,1331,3,NORMAL
2026-01-13T18:33:53.223166+00:00,,,,,443,44622,45,3,NORMAL
2026-01-13T18:33:53.223324+00:00,,,,,443,57758,1,3,NORMAL
2026-01-13T18:33:53.223415+00:00,,,,,443,57758,1,3,NORMAL
2026-01-13T18:33:53.223508+00:00,,,,,443,57758,1,3,NORMAL
2026-01-13T18:33:53.223602+00:00,,,,,57758,443,2129,3,NORMAL
2026-01-13T18:33:53.223836+00:00,,,,,57758,443,2129,3,NORMAL
2026-01-13T18:33:53.223933+00:00,,,,,443,57758,100,3,NORMAL
2026-01-13T18:33:53.224021+00:00,,,,,443,57758,2760,3,NORMAL
2026-01-13T18:33:53.224125+00:00,,,,,443,57758,4090,3,NORMAL
2026-01-13T18:33:53.224218+00:00,,,,,57758,443,3071,3,NORMAL
2026-01-13T18:33:53.224306+00:00,,,,,443,57758,4196,3,NORMAL
2026-01-13T18:33:53.224399+00:00,,,,,57758,443,3071,3,NORMAL
2026-01-13T18:33:53.224487+00:00,,,,,443,57758,6856,3,NORMAL
2026-01-13T18:33:53.224572+00:00,,,,,57758,443,3071,3,NORMAL
2026-01-13T18:33:53.224677+00:00,,,,,57758,443,3145,3,NORMAL
2026-01-13T18:33:53.224771+00:00,,,,,57758,443,3237,3,NORMAL
2026-01-13T18:33:53.224858+00:00,,,,,443,57758,7093,3,NORMAL
2026-01-13T18:33:53.224943+00:00,,,,,443,57758,7093,3,NORMAL
2026-01-13T18:33:53.225033+00:00,,,,,443,57758,7380,3,NORMAL
2026-01-13T18:33:53.225142+00:00,,,,,443,57758,7667,3,NORMAL
2026-01-13T18:33:53.225233+00:00,,,,,57758,443,3502,3,NORMAL
2026-01-13T18:33:53.225322+00:00,,,,,443,57758,7667,3,NORMAL
2026-01-13T18:33:53.225412+00:00,,,,,57758,443,3502,3,NORMAL
2026-01-13T18:33:53.225501+00:00,,,,,443,57758,7738,3,NORMAL
2026-01-13T18:33:53.225592+00:00,,,,,57758,443,3533,3,NORMAL
2026-01-13T18:33:53.225697+00:00,,,,,443,57758,13058,3,NORMAL
2026-01-13T18:33:53.225797+00:00,,,,,443,57758,14388,3,NORMAL
2026-01-13T18:33:53.225886+00:00,,,,,443,57758,21038,3,NORMAL
2026-01-13T18:33:53.225972+00:00,,,,,443,57758,24144,3,NORMAL
2026-01-13T18:33:53.226060+00:00,,,,,443,57758,30794,3,NORMAL
2026-01-13T18:33:53.226158+00:00,,,,,443,57758,34784,3,NORMAL
2026-01-13T18:33:53.226255+00:00,,,,,57758,443,3533,3,NORMAL
2026-01-13T18:33:53.226345+00:00,,,,,443,57758,37444,3,NORMAL
2026-01-13T18:33:53.226434+00:00,,,,,443,57758,40104,3,NORMAL
2026-01-13T18:33:53.226521+00:00,,,,,57758,443,3533,3,NORMAL
2026-01-13T18:33:53.226610+00:00,,,,,443,57758,45424,3,NORMAL
2026-01-13T18:33:53.226702+00:00,,,,,443,57758,46754,3,NORMAL
2026-01-13T18:33:53.226799+00:00,,,,,57758,443,3533,3,NORMAL
