timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,packet_count,label
2026-01-13T15:02:34.912680+00:00,10.232.71.26,10.232.71.48,52330,22,0x0002,1,NORMAL
2026-01-13T15:02:34.913988+00:00,10.232.71.48,10.232.71.26,22,52330,0x0012,1,NORMAL
2026-01-13T15:02:34.914225+00:00,10.232.71.26,10.232.71.48,52330,22,0x0010,2,NORMAL
2026-01-13T15:02:34.914337+00:00,10.232.71.26,10.232.71.48,52330,22,0x0018,3,NORMAL
2026-01-13T15:02:34.914433+00:00,10.232.71.48,10.232.71.26,22,52330,0x0010,2,NORMAL
2026-01-13T15:02:34.914536+00:00,10.232.71.48,10.232.71.26,22,52330,0x0018,3,NORMAL
2026-01-13T15:02:34.914632+00:00,10.232.71.26,10.232.71.48,52330,22,0x0010,4,NORMAL
2026-01-13T15:02:34.914720+00:00,10.232.71.48,10.232.71.26,22,52330,0x0018,4,NORMAL
2026-01-13T15:02:34.914808+00:00,10.232.71.26,10.232.71.48,52330,22,0x0010,5,NORMAL
2026-01-13T15:02:34.914896+00:00,10.232.71.26,10.232.71.48,52330,22,0x0018,6,NORMAL
2026-01-13T15:02:34.914984+00:00,10.232.71.48,10.232.71.26,22,52330,0x0010,5,NORMAL
2026-01-13T15:02:34.915072+00:00,10.232.71.26,10.232.71.48,52330,22,0x0018,7,NORMAL
2026-01-13T15:02:34.915170+00:00,10.232.71.48,10.232.71.26,22,52330,0x0010,6,NORMAL
2026-01-13T15:02:34.915574+00:00,10.232.71.48,10.232.71.26,22,52330,0x0018,7,NORMAL
2026-01-13T15:02:34.915678+00:00,10.232.71.26,10.232.71.48,52330,22,0x0018,8,NORMAL
2026-01-13T15:02:34.915771+00:00,10.232.71.48,10.232.71.26,22,52330,0x0010,8,NORMAL
2026-01-13T15:02:34.915861+00:00,10.232.71.26,10.232.71.48,52330,22,0x0018,9,NORMAL
2026-01-13T15:02:34.916067+00:00,10.232.71.48,10.232.71.26,22,52330,0x0010,9,NORMAL
2026-01-13T15:02:34.916178+00:00,10.232.71.48,10.232.71.26,22,52330,0x0018,10,NORMAL
2026-01-13T15:02:34.916271+00:00,10.232.71.26,10.232.71.48,52330,22,0x0018,10,NORMAL
2026-01-13T15:02:34.916660+00:00,10.232.71.48,10.232.71.26,22,52330,0x0018,11,NORMAL
2026-01-13T15:02:34.916855+00:00,10.232.71.26,10.232.71.48,52330,22,0x0018,11,NORMAL
2026-01-13T15:02:34.916972+00:00,10.232.71.26,10.232.71.48,52330,22,0x0011,12,NORMAL
2026-01-13T15:02:34.917059+00:00,10.232.71.48,10.232.71.26,22,52330,0x0011,12,NORMAL
2026-01-13T15:02:34.917161+00:00,10.232.71.26,10.232.71.48,52330,22,0x0010,13,NORMAL
2026-01-13T15:02:34.917246+00:00,10.232.71.26,10.232.71.48,52346,22,0x0002,14,NORMAL
2026-01-13T15:02:34.917342+00:00,10.232.71.48,10.232.71.26,22,52346,0x0012,13,NORMAL
2026-01-13T15:02:34.917434+00:00,10.232.71.26,10.232.71.48,52350,22,0x0002,15,NORMAL
2026-01-13T15:02:34.917518+00:00,10.232.71.48,10.232.71.26,22,52350,0x0012,14,NORMAL
2026-01-13T15:02:34.917611+00:00,10.232.71.26,10.232.71.48,52348,22,0x0002,16,NORMAL
2026-01-13T15:02:34.917696+00:00,10.232.71.48,10.232.71.26,22,52348,0x0012,15,NORMAL
2026-01-13T15:02:34.917786+00:00,10.232.71.26,10.232.71.48,52384,22,0x0002,17,NORMAL
2026-01-13T15:02:34.918066+00:00,10.232.71.48,10.232.71.26,22,52384,0x0012,16,NORMAL
2026-01-13T15:02:34.918303+00:00,10.232.71.26,10.232.71.48,52392,22,0x0002,18,NORMAL
2026-01-13T15:02:34.918542+00:00,10.232.71.48,10.232.71.26,22,52392,0x0012,17,NORMAL
2026-01-13T15:02:34.918749+00:00,10.232.71.26,10.232.71.48,52404,22,0x0002,19,NORMAL
2026-01-13T15:02:34.918955+00:00,10.232.71.48,10.232.71.26,22,52404,0x0012,18,NORMAL
2026-01-13T15:02:34.919144+00:00,10.232.71.26,10.232.71.48,52420,22,0x0002,20,SSH_BRUTE_FORCE
2026-01-13T15:02:34.919296+00:00,10.232.71.48,10.232.71.26,22,52420,0x0012,19,NORMAL
2026-01-13T15:02:34.919385+00:00,10.232.71.26,10.232.71.48,52436,22,0x0002,21,SSH_BRUTE_FORCE
2026-01-13T15:02:34.919476+00:00,10.232.71.48,10.232.71.26,22,52436,0x0012,20,SSH_BRUTE_FORCE
2026-01-13T15:02:34.919559+00:00,10.232.71.26,10.232.71.48,52446,22,0x0002,22,SSH_BRUTE_FORCE
2026-01-13T15:02:34.919642+00:00,10.232.71.48,10.232.71.26,22,52446,0x0012,21,SSH_BRUTE_FORCE
2026-01-13T15:02:34.919731+00:00,10.232.71.26,10.232.71.48,52452,22,0x0002,23,SSH_BRUTE_FORCE
